"IDPUBLICACION","IDTIPOPUBLICACION","IDFUENTE","NO_AUTORES","AO_PUBLICACION","TITULO","NOMBRE_LIBRO-REVISTA","EDITOR_LIBRO","VOL_REVISTA","NUM_REVISTA","EDITORIAL/INSTITUCION","FECHA_PUBLICACION","LUGAR_PUBLICACION","PAG_ARTICULO","PAG_PUBLICACION","suma"
219.00,1.00,1.00,2.00,"1959","New evidence of antiquity of Tepexpan and other human remains from the Valley of Mexico","Southwestern Journal of Anthropology","ND",15.00,"1","University of the New Mexico","ND","ND","36-42","ND",1.00
220.00,1.00,2.00,1.00,"1935","New evidence on the ancestry of Antilocapra americana","Journal of Mammalogy","ND",0.00,"16","ND","ND","ND","307-315","ND",1.00
221.00,1.00,1.00,2.00,"1963","A porcupine from the Pleistocene of Aguascalientes, Mexico","Contributions from the Museum of Paleontology, University of Michigan","ND",18.00,"16","University of Michigan","ND","ND","245-253","ND",1.00
222.00,1.00,1.00,2.00,"1950","El bisonte gigante de Mxico","Anales del Instituto de Biologa, Mxico","ND",21.00,"1","ND","ND","ND","243-254","ND",1.00
223.00,1.00,3.00,5.00,"1965","Quaternary mammals of North America","The Quaternary of the United States","H.E. Wright, Jr. y David G. Frey",0.00,"ND","Princeton University Press, Princeton, New Jersey","ND","ND","509-525","922",1.00
224.00,1.00,1.00,1.00,"1989","Late Cenozoic tapirs (Mammalia: Perissodactyla) of western North America","Natural History Museum of Los Angeles. County Contribitions in Science","ND",0.00,"406","ND","ND","ND","1-22","ND",1.00
225.00,3.00,1.00,3.00,"1989","Changing patterns of fauna exploitation","Ancient trade and tribute economies of the Soconusco region of Mesoamerica","Voorhies, Barbara",0.00,"ND","ND","ND","ND","133-153","ND",1.00
226.00,1.00,2.00,1.00,"1992","Mammals from the Late Pleistocene Carrol Creek local fauna Donley Co., Texas","The Southwestern Naturalist","ND",37.00,"1","ND","ND","ND","54-64","ND",1.00
227.00,2.00,3.00,3.00,"1986","The physical environment of the Guil Naquitz Cave Group","Guil Naquitz, Archaic foraging and Early agriculture in Oaxaca, Mexico","Flannery, Kent V.",0.00,"ND","Academic Press","ND","Orlando","43-61","538",1.00
228.00,1.00,1.00,1.00,"1966","Pleistocene bears of North America I. Genus Tremarctos, spectacled bears","Acta Zoologica Fennica","ND",0.00,"115","ND","ND","ND","1-120","ND",1.00
229.00,1.00,2.00,1.00,"1967","Pleistocene bears of North America 2. Genus Arctodus, short-faced bears","Acta Zoologica Fennica","ND",0.00,"17","ND","ND","ND","1-60","ND",1.00
230.00,1.00,2.00,1.00,"1974","A history of coyote-like dogs (Canidae, Mammalia)","Acta Zoologica Fennica","ND",0.00,"140","ND","ND","ND","1-38","ND",1.00
231.00,1.00,2.00,1.00,"1995","Quaternary studies in northern Chihuahua","Current Research in the Pleistocene","ND",12.00,"ND","ND","ND","ND","29-31","ND",1.00
232.00,1.00,2.00,2.00,"1986","Mammutes excavados en la Cuenca de Mxico (1952-1980)","Cuadernos de Trabajo del Departamento de Prehistoria","ND",0.00,"32","Instituto Nacional de Antropologa e Historia","ND","ND","7-151","151",1.00
233.00,1.00,2.00,1.00,"1988","Los proboscideos fsiles de Costa Rica y su contexto en la America Central","Vnculos","ND",14.00,"1-2","Reviste de Antropologa del Museo Nacional de Costa Rica","ND","ND","29-58","ND",1.00
234.00,1.00,1.00,2.00,"1984","Tropical Sonora","Sonorensis","ND",6.00,"2","ND","ND","ND","5-10","ND",1.00
235.00,1.00,3.00,1.00,"1972","Fossil vertebrates from the Late Pleistocene Ingleside fauna, San Patricio Country, Texas","Report of Investigations, Bureau of Economic Geology","ND",0.00,"77","ND","ND","ND","1-74","ND",1.00
236.00,1.00,2.00,1.00,"1963","The Atotonilco mammoth hunt","Quaterly L.A. Country Museum","ND",1.00,"3-4","ND","ND","ND","16-17","ND",1.00
237.00,3.00,2.00,1.00,"1981","North American bison: their classification and evolution","ND","ND",0.00,"ND","University of California Press","ND","Berkeley","ND","316",1.00
238.00,2.00,2.00,1.00,"1984","A Late Pleistocene mammalian fauna from Cueva Quebrada, Val Verde Country, Texas","Contributions in Quaternary Vertebrate Paleontology: a volume in memmorial to John E. Guilday","Genoways, Hugh H. y Dawson, Mary R.",0.00,"8","Carnegie Museum of Natural History Special Publication","ND","ND","456-481","538",1.00
239.00,1.00,2.00,1.00,"1973","Origin and evolution of the Elephantidae","Transactions of the American Philosophical Society","ND",63.00,"3","ND","ND","ND","5-149","149",1.00
240.00,1.00,1.00,1.00,"1980","Ofrendas asociadas a entierros del Infiernillo en el Balsas","Coleccin Cientfica","ND",0.00,"91","Instituto Nacional de Antropologa e Historia","ND","ND","135-178","233",1.00
241.00,1.00,1.00,1.00,"1986","Faunal analysis","Notes of the New World Archaelogical foundation","ND",0.00,"ND","Notes of the New World Archaelogical foundation. Brigham Young University","ND","ND","26-33","ND",1.00
242.00,2.00,2.00,1.00,"1967","Prehistoric overkill","Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research","Martin, P. S. & Wright, H. E., Jr.",6.00,"ND","New Haven and London, Yale University","ND","ND","75-120","453",1.00
243.00,2.00,2.00,2.00,"1967","A bestiary for Pleistocene biologists","Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research","Martin, P. S. & Wright, H. E., Jr.",6.00,"ND","New Haven and London, Yale University","ND","ND","1-62","453",1.00
244.00,2.00,3.00,1.00,"1974","Fossil mammals from the Coleman IIA fauna, Sumter County","Pleistocene mammals of Florida","Webb, S. David",0.00,"ND","The University Presses of Florida","ND","ND","35-99","270",1.00
245.00,1.00,2.00,1.00,"1978","A new Late Pleistocene Conepatus and associated vertebrate fauna from Florida","Journal of Paleontology","ND",52.00,"5","ND","ND","ND","1079-1085","ND",1.00
246.00,1.00,2.00,1.00,"1987","Notes on the classification and evolution of some North American fossil Microtus (Mammalia, Rodentia)","Journal of Vertebrate Paleontology","ND",7.00,"3","ND","ND","ND","270-283","ND",1.00
247.00,2.00,3.00,2.00,"1974","Late Pleistocene mammals from the Devil's Den fauna, Levy Conty","Pleistocene mammals of Florida","Webb, S. David",0.00,"ND","The University Presses of Florida","ND","ND","ND","270",1.00
248.00,1.00,2.00,1.00,"1971","Pleistocene vertebrate of the Los Angeles basin and vicinty (exclusive of Rancho La Brea)","Bulletin of the Los Angeles County Museum of Natural History, Science","ND",0.00,"10","ND","1971","ND","1-124","124",1.00
249.00,1.00,2.00,1.00,"1976","Late Pleistocene vertebrates of the Sylver Creek local fauna from North Central Utah","The Great Basin Naturalist","ND",36.00,"4","ND","1976","ND","387-424","ND",1.00
250.00,1.00,1.00,1.00,"1934","Sobre un gravigrado gigantesco (Mylodon) encontrado en el Valle de Mxico","Anales del Instituto de Biologa, Mxico","ND",5.00,"3","ND","ND","ND","223-236","ND",1.00
251.00,1.00,1.00,1.00,"1863","On the american fossil elephant of the regions bordering the Gulf of Mexico (E. columbi, Falc.); with general observations on the living and extinct species","Natural History Reviews","ND",3.00,"ND","ND","ND","ND","43-114","ND",1.00
252.00,1.00,1.00,1.00,"1976","Zohapilco: cinco milenios de ocupacin humana en un sitio lacustre de la Cuenca de Mxico","Coleccin Cientfica","ND",0.00,"30","Instituto Nacional de Antropologa e Historia","ND","ND","1-308","308",1.00
253.00,1.00,1.00,2.00,"1959","Subfosil mammals from the Gmez Faras region the tropical gradient of Eastern Mexico","Journal of Mammalogy","ND",40.00,"1","ND","ND","ND","1-12","ND",1.00
254.00,1.00,1.00,1.00,"1947","Nota preliminar sobre una fauna subfsil de pequeos vertebrados en un antiguo delta de la regin de Zumpango, Mx.","Revista de la Sociedad Mexicana de Historia Natural","ND",8.00,"1-4","ND","ND","ND","243-249","ND",1.00
255.00,2.00,2.00,1.00,"1967","Late-Pleistocene and Holocene faunal history of central Texas","Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research","Martin, P. S. & Wright, H. E., Jr.",6.00,"ND","New Haven and London, Yale University","ND","ND","287-319","ND",1.00
256.00,1.00,2.00,1.00,"1905","Recent vertebrate paleontology. Fossil mammals of Mexico","Science","ND",21.00,"546","ND","ND","ND","931-932","ND",1.00
257.00,1.00,1.00,1.00,"1982","Restos seos animales localizados en las excavaciones","Coleccin Cientfica","Mirambell, Lorena",0.00,"128","Instituto Nacional de Antropologa e Historia","ND","ND","63-75","95",1.00
258.00,1.00,2.00,1.00,"1987","Mammut americanum, Utah's first record of the American mastodon","Journal of Paleontology","ND",61.00,"1","ND","ND","ND","168-183","ND",1.00
259.00,8.00,1.00,2.00,"9999","Informe sobre los restos de megafauna de Francisco R. Serrano, Municipio de Ixtapan, Chipas","Archivo del Departamento de Prehistoria (6-157)","ND",0.00,"ND","Instituto Nacional de Antropologa e Historia","ND","ND","ND","ND",1.00
260.00,1.00,1.00,1.00,"1972","Una osamenta fsil en el exlago de Texcoco","Boletn (II Epoca)","ND",0.00,"2","Instituto Nacional de Antropologa e Historia","ND","ND","9-16","ND",1.00
261.00,1.00,1.00,1.00,"1971","Observaciones sobre la familia Mylodontidae (Edentata, Megalonychoidea)","Paleoecologa","ND",0.00,"6","Departamento de Prehistoria, Instituto Nacional de Antropologa e Historia","ND","ND","1-22","ND",1.00
262.00,1.00,2.00,1.00,"1973","Nota acerca de Eremotherium guanajuatense (Duges, 1882) (Edentata, Megatheroidea) de Araperos, estado de Guanajuato, Mxico","Trab. V Congr. Latinoam. Zool.","ND",0.00,"1","ND","1973","ND","162-165","ND",1.00
263.00,1.00,1.00,1.00,"1973","Nueva especie de pecari fsil (Platygonus) del estado de Jalisco","Anales del Instituto Nacional de Antropologa e Historia, poca 7a.","ND",0.00,"3","ND","ND","ND","119-128","ND",1.00
264.00,1.00,2.00,5.00,"1995","An Early Holocene hand-dug water well in the Tehuacan Valley","Current Research in the Pleistocene","ND",12.00,"ND","ND","ND","ND","38-40","ND",1.00
265.00,1.00,1.00,1.00,"1979","North American Quaternary Canis","Monograph of the Museum of Natural History, University of Kansas","ND",0.00,"6","ND","ND","ND","1-154","ND",1.00
266.00,1.00,1.00,2.00,"1970","Cuvieronius arellanoi sp. n., mastodonte del Pleistoceno del estado de Oaxaca","Universidad Nacional Autnoma de Mxico","ND",0.00,"33","Instituto de Geologa, Universidad Nacional Autnoma de Mxico","ND","ND","5-22","ND",1.00
267.00,8.00,1.00,2.00,"1990","Informe de restos seos procedentes de Tonin, Chiapas","Tonina: une cit maya du Chiapas (Mexique)","Becquelin, Pierre y Taladoire, Eric",4.00,"ND","Collection Etudes Mesoamericaines 1-6-4","ND","ND","1851","ND",1.00
268.00,1.00,2.00,1.00,"1921","The evolution, phylogeny and classification of the Proboscidea","American Museum Novitates","ND",0.00,"1","ND","ND","ND","1-15","ND",1.00
269.00,1.00,2.00,1.00,"1920","Pleistocene peccaries from the Cumberland Cave deposits","Proceedings U.S. National Museum","ND",57.00,"2324","ND","ND","ND","651-678","ND",1.00
270.00,1.00,3.00,3.00,"1994","San Josecito Cave recent explorations into the past","NSS News","ND",52.00,"8","ND","ND","ND","230-235","ND",1.00
271.00,1.00,1.00,2.00,"1965","Description of a new species of fossil Baiomys from the Pleistocene of Central Mexico","Acta Zoologica Mexicana","ND",7.00,"4","ND","ND","ND","1-4","ND",1.00
272.00,1.00,1.00,1.00,"1964","Animal remains from the Schroeder site Durango, Mexico","The Kiva","ND",29.00,"4","ND","ND","ND","99-110","ND",1.00
273.00,1.00,2.00,1.00,"1963","Fossil vertebrates from Miller's cave Llano County, Texas","Texas Memorial Museum","ND",0.00,"7","The University of Texas","ND","ND","7-41","ND",1.00
274.00,1.00,1.00,3.00,"1961","El mamut posiblemente ms antiguo de la Cuenca de Mxico, con algunas consideraciones paleoecolgicas y geocronolgicas","Homenaje a Pablo Martnez del Ro","ND",0.00,"ND","Instituto Nacional de Antropologa e Historia","ND","ND","ND","ND",1.00
275.00,1.00,1.00,1.00,"1981","Restos fsiles de Glossotherium y Eremotherium (Edentata) en Mxico","Anais do II Congresso Latino-Americano de Paleontologia","ND",0.00,"ND","ND","ND","ND","819-833","ND",1.00
276.00,1.00,1.00,1.00,"1982","Identificacin de restos seos de mammut","Coleccin Cientfica","Mirambell, Lorena",0.00,"128","Instituto Nacional de Antropologa e Historia","ND","ND","77-87","95",1.00
277.00,1.00,1.00,3.00,"1989","La sala de fauna del Museo del Templo Mayor","Trace","ND",0.00,"16","ND","ND","ND","53-69","ND",1.00
278.00,1.00,1.00,2.00,"1957","Notes on vertebrate animal remains from Mayapan","Current Reports","ND",0.00,"41","Carnegie Institution of Washington Department of Archaeology","ND","ND","633-656","ND",1.00
279.00,1.00,2.00,1.00,"1957","Pleistocene Equidae of Texas","Bureau of Economic Geology","ND",0.00,"33","The University of Texas","ND","ND","5-51","ND",1.00
280.00,1.00,1.00,2.00,"1962","Mammutes: hallazgo de un cementerio en Jalisco","Folia Universitaria","ND",3.00,"ND","ND","ND","ND","1-63","ND",1.00
281.00,1.00,2.00,1.00,"1957","Pre-columbian horses from Yucatn","Journal of Mammalogy","ND",38.00,"2","ND","ND","ND","278","ND",1.00
282.00,1.00,3.00,1.00,"1965","A glyptodon from South Carolina","The Charleston Museum Leaflet","ND",0.00,"27","ND","ND","ND","1-12","ND",1.00
283.00,1.00,2.00,1.00,"1980","Late Pleistocene and Holocene turkeys in the southwest","Contributions in Science Natural History Museum of Los Angeles County","Campbell,  Kenneth E., Jr.",330.00,"ND","The Natural History Museum of Los Angeles County","ND","ND","209-224","ND",1.00
284.00,2.00,2.00,1.00,"1967","Subfamilies and genera of the Soricidae","U. S. Geological Survey Professional Paper 565","ND",0.00,"ND","ND","ND","ND","1-74","ND",1.00
285.00,1.00,2.00,1.00,"1923","Los elefantes de la Cuenca de Mxico","Revista Mexicana de Biologa","ND",3.00,"6","ND","ND","ND","227-244","ND",1.00
286.00,1.00,1.00,1.00,"1927","Ejemplar nmerico 213 del Museo Paleontologa del Instituto Geolgico de Mxico","Anales del Instituto Geolgico de Mxico","ND",2.00,"ND","ND","ND","ND","203-204","ND",1.00
287.00,1.00,2.00,1.00,"1978","Zooarchaeology: its history and development","A History selected bibliography of Zooarchaeology in Eastern North American","Bogan, Arthur E. y Robison, Neil D.",0.00,"ND","ND","ND","ND","1-21","ND",1.00
288.00,1.00,1.00,1.00,"1986","The Quaternary distribution of the eastern woodrat, Neotoma floridiana, in Indiana","Proceedings of the Indiana Academy of Science","ND",96.00,"ND","ND","ND","ND","513-521","ND",1.00
289.00,1.00,2.00,1.00,"1979","Variation and evolution in the premolar teeth of Osteoborus and Borophagus (Canidae)","Transactions of the Nebraska Academy of Sciences","ND",7.00,"ND","ND","ND","ND","105-123","ND",1.00
290.00,1.00,2.00,1.00,"1985","Los mamferos en las culturas antiguas de Mxico","Zacatuche: Organo de informacin de la Asociacin Mexicana de Mastozologa, A. C.","ND",0.00,"2","ND","ND","ND","2-12","ND",1.00
291.00,1.00,2.00,2.00,"1989","El mastodonte americano","Mundo Cientfico","ND",9.00,"92","ND","ND","ND","584-595","ND",1.00
292.00,1.00,2.00,1.00,"1951","Late Cenozoic vertebrates of the San Francisco bay region","University of California Publications, Bulletin of the Department of Geological Sciences","ND",28.00,"10","ND","ND","ND","215-314","ND",1.00
293.00,1.00,2.00,1.00,"1941","Large Pleistocene felines of North America","American Museum Novitates","ND",0.00,"1136","ND","ND","ND","1-27","ND",1.00
294.00,1.00,2.00,1.00,"1942","The fauna of Papago Springs Cave, Arizona, and a study of Stockoceros; with three new antilocaprines form Nebraska and Arizona","Bulletin of the American Museum of Natural History","ND",80.00,"ND","The American Museum of Natural History","ND","ND","143-220","ND",1.00
295.00,1.00,2.00,1.00,"1966","Platygonus compressus and associated fauna from the Laubach Cave of Texas","The American Midland Naturalist","ND",75.00,"2","ND","ND","ND","475-494","ND",1.00
296.00,1.00,2.00,4.00,"1994","New information on the Late Pleistocene birds from San Josecito Cave, Nuevo Leon, Mexico","The Condor","ND",0.00,"96","ND","ND","ND","577-589","ND",1.00
297.00,1.00,3.00,1.00,"1964","La cueva del Cordel","Boletn de a Sociedad Nuevoleonesa de Historia, Geografa y Estadstica","ND",0.00,"2","ND","ND","ND","9-11","ND",1.00
298.00,1.00,3.00,1.00,"1966","El Valle Zacoalco-Sayula","Boletn de la Sociedad de Ciencias Naturales de Jalisco","ND",1.00,"1","ND","ND","ND","ND","ND",1.00
299.00,1.00,1.00,3.00,"1985","The Sangamon interglacial vertebrate fauna from Rancho La Brisca, Sonora, Mexico","Transactions of the San Diego Society of Natural History","ND",21.00,"2","ND","ND","ND","23-55","ND",1.00
300.00,2.00,1.00,1.00,"1986","Radiocarbon dates","Guil Naquitz, Archaic foraging and Early agriculture in Oaxaca, Mexico","Flannery, Kent V.",0.00,"ND","Academic Press","ND","Orlando","175-176","538",1.00
301.00,1.00,1.00,3.00,"1970","A peccary, Platygonus compressus Le Conte, from drift of Wisconsin age in nortern Pennsylvania","American Journal of Science","ND",268.00,"ND","ND","ND","ND","78-94","ND",1.00
302.00,1.00,1.00,1.00,"1903","Apuntes acerca de la fauna fsil del Valle de Mxico","Anales del Museo Nacional de Mxico, 1a. poca","ND",7.00,"ND","ND","1903","ND","441-451","ND",1.00
303.00,1.00,2.00,1.00,"1965","The osteology of Camelops","Bulletin of the Los Angeles County Museum of Natural History, Science","ND",0.00,"1","ND","ND","ND","1-54","ND",1.00
304.00,2.00,3.00,1.00,"1974","Pleistocene llamas of Florida, with a brief review of the Lamini","Pleistocene mammals of Florida","Webb, S. David",0.00,"ND","The University Presses of Florida","ND","ND","170-213","270",1.00
305.00,2.00,1.00,1.00,"1968","Preliminary notes of the faunal remains excavated from several sities in Sinaloa and Nayarit, Mexico","Archaelogical reconnaissance and excavations in the Marismas Nacional, Sinaloa and Nayarit, Mxico Prelim","Scott S. et al.",0.00,"ND","State University of Buffalo of New York","ND","ND","150-152","ND",1.00
306.00,1.00,1.00,1.00,"1975","Vertebrate faunal remains","Archaelogical investigations on the Yucatan Peninsula","ND",0.00,"31","National Geographic Society Tulane University program of research on the Yucatan Peninsula","ND","ND","186-187","ND",1.00
307.00,2.00,1.00,1.00,"1978","Use of dogs for food. An adaptation to the coastal environment","Prehistoric coastal adaptations; Acad. Press Inc. Parte II","ND",0.00,"ND","ND","ND","ND","29-41","ND",1.00
308.00,2.00,2.00,1.00,"1981","A comparison of Olmec and Maya foodways","The Olmec and their neighbors","Benson, Elizabeth P.",0.00,"ND","Dumbarton Oaks Research Library and Collections, Harvard University, Washington","ND","ND","21-28","ND",1.00
309.00,1.00,2.00,2.00,"1982","Prehistoric fishing communities of the Caribbean","Journal of New World Archeology","ND",5.00,"2","ND","ND","ND","13-32","ND",1.00
310.00,2.00,2.00,1.00,"1991","Late Pleistocene North American equids: why a widespread large mammal may be sparsely represented in Early Archaeological sites","Bearmers, bobwhites, and blue-points: tributes to the career of Paul W. Parmalee","Purdue, James R., Klippel Walter E. y Styles Bonnie W.",23.00,"52","Illinions State Museum Scientific Papers. The University of Tennessae, Department of Anthropology Report of Investigations","ND","ND","261-272","446",1.00
311.00,1.00,2.00,1.00,"1898","The extinct Camelidae of North America and some associated forms","Bulletin of the American Museum of Natural History","ND",10.00,"7","The American Museum of Natural History","ND","ND","93-142","ND",1.00
312.00,1.00,2.00,1.00,"1985","A new species of woodrat (Cricetidae) from the Pleistocene (Invingtonian) of South Dakota","Journal of Mammalogy","ND",66.00,"4","ND","ND","ND","770-773","ND",1.00
313.00,1.00,2.00,1.00,"1985","The fossil record","Biology of New World Microtus","Tamarin, Robert H.",8.00,"ND","Special publication of the American Society of Mammalogists","ND","ND","1-51","ND",1.00
314.00,1.00,1.00,2.00,"1987","First record of giant anteater (Xenarthra, Myrmecophagidae) in North America","Science","ND",236.00,"ND","ND","ND","ND","186-188","ND",1.00
315.00,2.00,1.00,1.00,"1967","Associations of early man with horse, camel, and mastodon at Hueyatlaco, Valsequillo (Puebla, Mexico)","Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research","Martin, P. S. & Wright, H. E., Jr.",6.00,"ND","New Haven and London, Yale University","ND","ND","337-347","ND",1.00
316.00,1.00,1.00,1.00,"1994","La fauna","8000 aos de la Cuenca de Zacapu: evolucin de los paisajes y primeros desmontes","Ptrequin, Pierre",0.00,"6","Collections estudes Mesamericaines II-14 Cuadernos de Estudios Michoacanos","ND","ND","113-122","144",1.00
317.00,1.00,1.00,2.00,"1992","Aztec exploitation of cloud forests: tributes of liquidambar resin and quetzal feathers","Global Ecology and Biogeography Letters","ND",2.00,"ND","ND","ND","ND","165-173","ND",1.00
318.00,2.00,2.00,1.00,"1967","Carbon-14 dates and early man in the New World","Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research","Martin, P. S. & Wright, H. E., Jr.",6.00,"ND","New Haven and London, Yale University","ND","ND","267-286","ND",1.00
319.00,2.00,2.00,1.00,"1967","The agency of man in animal extinctions","Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research","Martin, P. S. & Wright, H. E., Jr.",6.00,"ND","New Haven and London, Yale University","ND","ND","267-286","ND",1.00
320.00,1.00,1.00,1.00,"1960","Probocideos fsiles de Mxico, una revisin","Instituto Nacional de Antropologa e Historia","ND",4.00,"ND","ND","ND","ND","7-63","ND",1.00
321.00,1.00,1.00,2.00,"1991","Comparison of dental characters of fossil horses in two Pleistocene local faunas","The Texas Journal of Science","ND",43.00,"1","ND","ND","ND","45-49","ND",1.00
322.00,8.00,2.00,5.00,"1962","The Hill-Shuler local faunas of the upper Trinity River, Dallas and Denton Counties, Texas","Bureau of Economic Geology","ND",0.00,"48","The University of Texas","ND","ND","1-66","ND",1.00
323.00,8.00,1.00,5.00,"1994","Sediments properties from San Josecito Cave, Nuevo Len, Mxico","15 Congreso Mundial de la Ciencia del Suelo (Volume 6a: Commission V: Symposia)","ND",6.00,"ND","ND","ND","ND","129-141","ND",1.00
324.00,1.00,2.00,2.00,"1993","Fauna fsil del Estado de Aguascalientes","Revista Geogrfica","ND",5.00,"6","ND","ND","ND","26-31","ND",1.00
325.00,1.00,2.00,1.00,"1910","Breves apuntes acerca de la Paleobiologa del Valle de Mxico","La Naturaleza, tercera serie","ND",1.00,"ND","ND","ND","ND","7-13","ND",1.00
326.00,1.00,1.00,1.00,"1990","Pleistocene artifacts from Jalisco, Mexico: a comparison with some pre-hispanis artifacts","Bone modifications","ND",0.00,"ND","ND","ND","ND","499-514","ND",1.00
327.00,3.00,2.00,1.00,"1979","Tratado de Paleomastozoologia","ND","ND",0.00,"ND","Academia Brasileira de Cincias","ND","ND","ND","590",1.00
328.00,1.00,2.00,1.00,"1968","A new porcine from the Middle Pleistocene of the Anza-borrego Desert of California with notes on mastications in Coendou and Erethizon","Contributions in Science","ND",0.00,"136","Los Angeles County Museum of Natural History","ND","ND","1-15","ND",1.00
329.00,3.00,2.00,1.00,"1897","Catlogo de la coleccin de fsiles del Museo Nacional","ND","ND",0.00,"ND","Imprenta del Museo Nacional","ND","ND","1-79","ND",1.00
330.00,1.00,1.00,2.00,"1988","Restos faunsticos y reas de actividad en una unidad habitacional de la antigua ciudad de Teotihuacn","Revista Mexicana de Estudios Antropolgicos","ND",34.00,"1","Sociedad Mexicana de Antropologa","ND","ND","147-168","ND",1.00
331.00,8.00,3.00,1.00,"1975","Late Pleistocene and Holocene mammals from Northern Mexico and their implications for archaeological research","ND","ND",0.00,"ND","Casa de la Cultura de Nuevo Len","1975","ND","1-11","ND",1.00
332.00,2.00,3.00,1.00,"1984","New World mammoth distribution","Quaternary extinctions: a Prehistoric revolution","Martin, Paul S. & Klein, Richard G.",0.00,"ND","The University of Arizona Press","ND","Tucson, Arizona","90-108","892",1.00
333.00,2.00,2.00,1.00,"1937","Horned rumiants of North America","ND","ND",69.00,"ND","Bulletin of the American Museum of Natural History","ND","ND","ND","669",1.00
334.00,2.00,3.00,2.00,"1984","Enviromental insularity and the extinctions of the american mastodon","Quaternary extinctions: a Prehistoric revolution","Martin, Paul S. & Klein, Richard G.",0.00,"ND","The University of Arizona Press","ND","Tucson, Arizona","315-339","892",1.00
335.00,2.00,3.00,1.00,"1984","The reordered North American selection regime and Late Quaternary megafaunal extinctions","Quaternary extinctions: a Prehistoric revolution","Martin, Paul S. & Klein, Richard G.",1.00,"ND","The University of Arizona Press","ND","Tucson, Arizona","404-439","892",1.00
336.00,2.00,2.00,1.00,"1978","Distribution of Cenozoic vertebrate faunas in middle America and problems of migration between north and south America","Conexiones terrestres entre Norte y Sudamrica","Ferrusqua-Villafranca, Ismael",0.00,"101","Instituto de Geologa, Universidad Nacional Autnoma de Mxico","ND","ND","193-321","329",1.00
337.00,2.00,1.00,2.00,"1986","Preliminary report on archaeological and paleoenvironmental studies in the area of El Cedral, San Luis Potos, Mexico 1977-1980","New evidence for the Pleistocene peopling of the Americas","Bryan, Alan Lyle",0.00,"ND","Center for the study of early man University of Maine Orono, Maine","ND","ND","107-113","368",1.00
338.00,2.00,2.00,2.00,"1995","Taphonomy of a Late Pleistocene Carnivore Den, Dade County, Florida.","Late Quaternary environments and deep history: A tribute to Paul S. Martin","Steadman, David W. y Mead, Jim I.",3.00,"ND","The Mammoth Site of Hot Springs, South Dakota, Inc. Scientific Papers","ND","ND","65-83","I-V+186",1.00
339.00,1.00,2.00,1.00,"1991","Monografa de la familia Hydrochaeridae (Mammalia: Rodentia)","Courier Forschungsinstitut Senckenberg","ND",134.00,"ND","ND","ND","ND","1-235","ND",1.00
340.00,3.00,2.00,2.00,"1992","Ice age mammals of northwestern Texas","ND","ND",1.00,"ND","Midwestern State Univerity Press Wichita Fall, Texas","ND","ND","ND","309",1.00
341.00,2.00,2.00,1.00,"1987","Vertebrate remains","Lubbock Lake Late Quaternary studies on the southern High Plains","Johnson, Eilleen",0.00,"ND","Texas A & M University Press College Station","ND","ND","49-89","179",1.00
342.00,3.00,2.00,1.00,"1942","Proboscidea: a monograph of the discovery, evolution, migration and extinction of the mastodonts and elephants of the wordl. II Stegodontoidea, Elephantoidea","ND","ND",2.00,"ND","American Museum of Natural History","1942","ND","805-1675","ND",1.00
343.00,2.00,2.00,1.00,"1987","Paleopaysages et archeologie pre-urbaine du bassin de Mexico","ND","ND",11.00,"1-2","Centre d'tudes Mexicaines et Centramricaines","ND","ND","ND","855",1.00
344.00,1.00,1.00,1.00,"1955","Fsiles del Pleistoceno en Aguascalientes","Revista de la Asociacin Cultural Aguascalentense","ND",0.00,"4","ND","ND","ND","28-36","ND",1.00
345.00,1.00,1.00,1.00,"1933","Nota preliminar acerca del hallazgo de un gravgrado en capas diluviales de Villa F. Madero, D.F., Valle de Mxico","Anales del Instituto de Biologa, Mxico","ND",4.00,"2","ND","ND","ND","143","ND",1.00
346.00,2.00,1.00,1.00,"1993","Macrofsiles faunsticos","Anatoma de un conjunto residencial teotihuacano en Oztoyahualco. II. Los estudios especificos","Manzanilla, Linda",2.00,"ND","Instituto de Investigaciones Antroplogicas, Universidad Nacional Autnoma de Mxico","ND","ND","729-825","946",1.00
347.00,2.00,1.00,1.00,"1993","Arquitectura y reas de actividad: bancos de datos","Anatoma de un conjunto residencial teotihuacano en Oztoyahualco. I. Las excavaciones","Manzanilla, Linda",1.00,"ND","Instituto de Investigaciones Antroplogicas, Universidad Nacional Autnoma de Mxico","ND","ND","98-189","583",1.00
348.00,2.00,1.00,2.00,"1981","El Cedral, S.L.P., Mxico: un sitio con presencia humanas de ms de 30,000 AP.","X Congreso. Comisin XII El Poblamiento de Amrica, Coloquio evidencia arqueolgica de ocupacin humana en Amrica anterior a 11,500 aos a.p.","Bryan, Alan",0.00,"ND","ND","ND","ND","112-124.","ND",1.00
