"siteid"	"sitename"	"longitudeeast"	"latitudenorth"	"longitudewest"	"latitudesouth"	"altitude"	"area"	"sitedescription"	"notes"
232	"Actun Has"	999	999	999	999	9999	NA	NA	"a la mitad de la Sierra, alrededor de 6.5 Km S de Yokat"
233	"Cuitzeo"	999	999	999	999	9999	NA	NA	"a la orilla S del lago, dentro de la pennsula y casi pegado a las ltimas casas del pueblo"
234	"Valle de Puebla-Tlax."	999	999	999	999	9999	NA	NA	NA
235	"Altiplanicie Central de Mxico"	999	999	999	999	9999	NA	NA	NA
236	"Norte de Mxico (pas)"	999	999	999	999	9999	NA	NA	NA
237	"Cueva de Santa Marta"	999	999	999	999	9999	NA	NA	"7.5 Km al NW de Ocozocoautla, Chiapas, la cueva esta en la finca Kikap a unos 5 Km W de Ocozocoautla"
238	"Cueva del Tepeyolo"	999	999	999	999	9999	NA	NA	"10 Km Totemihuacn mrgenes de la Presa de Valsequillo"
239	"Cueva del Texcal"	999	999	999	999	9999	NA	NA	"6 Km S de Totemihuacn, margenes de la Presa de Valsequillo; 6.5 Km W Cueva de Tepeyolo"
240	"Regin de Gmez Faras"	999	999	999	999	9999	NA	NA	"Alvarez y Arroyo( 1989) engloban con \"regin de Gmez Faras\", las tres localidades de Koopman y Martn (1959): Infiernillo, Paraiso y Rancho del Cielo"
241	"Cuevas de Yucatn"	999	999	999	999	9999	NA	NA	NA
242	"Chimalhuacan-Atenco"	999	999	999	999	9999	NA	NA	"oriente de la ciudad de Mxico hacia el Noroeste del cerro Chimalhuacn, Edo. de Mxico"
243	"Tonin"	999	999	999	999	9999	NA	NA	NA
244	"Rancho La Brisca"	999	999	999	999	9999	NA	NA	NA
245	"Estado de Aguascalientes"	999	999	999	999	9999	NA	NA	NA
246	"Aguacatenango"	-92.4108333333333	16.6275	-92.4108333333333	16.6275	9999	NA	NA	"Serrana limtrofe de la Mesa Central y la Depresin Central, Carretera El Carmelito-Villa de las Rosas, Municipio de Aguacatenango (ref. 548)"
247	"Santa Isabel Iztapan II"	999	999	999	999	9999	NA	NA	"Mamut no. 2: W Santa Isabel Iztapan. Ref. 847: cerca de Tepexpan; ref. 723: aprox. 350m S del sitio que fue explorado el 1er. mamut en Iztapan y aprox. 2600m SSW del sitio del hallazgo del hombre fsil de Tepexpan."
248	"ranchera \"Margaritas\""	-102.273333333333	22.0133333333333	-102.273333333333	22.0133333333333	1890	NA	NA	"junto al ro Chicalote, sobre la carretera internacional; Original NUMERO_MAPA = F13-B89"
250	"Cuenca Chapala, Zacoalco"	999	999	999	999	9999	NA	NA	NA
251	"Lago de Texcoco"	999	999	999	999	9999	NA	NA	NA
252	"Laguna de las Cruces"	-101.881111111111	22.6513888888889	-101.881111111111	22.6513888888889	2100	NA	NA	"Original NUMERO_MAPA = F14-A61"
254	"Monterrey"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 399 y loc. 742 (del edo. de Jalisco)"
256	"Santa Luca I, II"	999	999	999	999	9999	NA	NA	NA
257	"Iztapan"	999	999	999	999	9999	NA	NA	"El estado no es seguro"
258	"Santa Martha Acatitla Sur"	999	999	999	999	9999	NA	NA	"en la calle Emilio Madero, casi esquina con Tito Ferrer, a un costado de la Escuela Primaria \"24 de febrero\" en la colonia Santa Martha Acatitla Sur"
259	"Tepexpan-Arellano"	999	999	999	999	9999	NA	NA	NA
260	"Tepexpan-Totolcingo"	999	999	999	999	9999	NA	NA	"ref. 776: en la zona entre los pueblos de Tepexpan y Totolcingo"
261	"Tepexpan-Hospital"	999	999	999	999	9999	NA	NA	"ref. 846: en el punto inmediato al Hospital para enfermos incurables"
263	"Plaza de las Tres Culturas, Tlatelolco"	999	999	999	999	9999	NA	NA	NA
264	"Ciudad de los Deportes"	999	999	999	999	9999	NA	NA	NA
265	"Cueva Encantada"	999	999	999	999	9999	NA	NA	"2 Km W Chimalacatln, a unos 200 m sobre el nivel del valle"
266	"Atotonilco"	999	999	999	999	9999	NA	NA	NA
267	"esquina de la 2 Norte y Portal Hidalgo"	999	999	999	999	9999	NA	NA	"Edificio Caldern"
268	"Cholula"	999	999	999	999	9999	NA	NA	NA
269	"Pen de los Baos"	999	999	999	999	9999	NA	NA	"cerca de 2.5 millas al E de la ciudad de Mxico"
270	"Pedregal de San Angel"	999	999	999	999	9999	NA	NA	"Lave du Pedregal (Valle de Mexico) (traduccin en el escrito en francs ref. 473)"
272	"llanura de Tepexpan"	999	999	999	999	9999	NA	NA	NA
273	"Cantera de Jocotepec"	999	999	999	999	9999	NA	NA	"5 km W Jocotepec, hacia Guadalajara (carret. 15)"
274	"Tlalnepantla"	999	999	999	999	9999	NA	NA	NA
276	"Tajo de Tequixquiac"	999	999	999	999	9999	NA	NA	NA
277	"Barranca de Acutcingo"	999	999	999	999	9999	NA	NA	"El contenido de fauna es diferente a las de las loc. 45 y 193"
278	"Tajo de Tequixquiac-Barranca de Acatln"	999	999	999	999	9999	NA	NA	"E de la boca norte del tunel del desague"
280	"Estado de Nuevo Len"	999	999	999	999	9999	NA	NA	NA
281	"Colonia Los Alamos"	999	999	999	999	9999	NA	NA	NA
282	"Tepexpan en el Museo de Prehistoria"	999	999	999	999	9999	NA	NA	"en le punto donde se levanta actualmente dicho museo"
283	"Rancho de la Verdolaga"	999	999	999	999	9999	NA	NA	"Dugs (1982;ref.176) dice que es de la jurisdiccin de San Juan de los Lagos, pero nunca dice a que estado pertenece. Se  sique a Barrios (1985;ref.548) quien lo ubica en Jalisco"
284	"Guil Naquitz"	999	999	999	999	9999	NA	NA	NA
285	"Cueva de los Afligidos"	999	999	999	999	9999	NA	NA	NA
286	"Cd. Serdn"	-97.445	18.9441666666667	-97.445	18.9441666666667	2600	NA	NA	"Original NUMERO_MAPA = E14-6"
287	"Ixtapan"	-92.9275	16.8275	-92.9275	16.8275	1120	NA	NA	NA
288	"Tepexpan cerca del sitio del hombre fsil"	999	999	999	999	9999	NA	NA	"ref. 846: a corta distancia del sitio de hallazgo del hombre fsil"
289	"Barranca del Toro"	-97.9683333333333	19.5633333333333	-97.9683333333333	19.5633333333333	2500	NA	NA	"Original NUMERO_MAPA = E14-B24"
290	"cercano al radio faro de Tepexpan"	999	999	999	999	9999	NA	NA	NA
291	"Estado de Mxico"	999	999	999	999	9999	NA	NA	NA
293	"Teotihuacn"	999	999	999	999	9999	NA	NA	"camino periferico de la zona arqueolgica, cerca del Rio San Juan, sector N2E2"
294	"Cueva de las Ventanas"	999	999	999	999	9999	NA	NA	NA
295	"La Ascensin"	-99.9133333333333	24.325	-99.9133333333333	24.325	1960	NA	NA	"cercanias Rancho La Angostura; Original NUMERO_MAPA = G14-C77"
296	"Comondu"	999	999	999	999	9999	NA	NA	"Prob. sea igual a la localidad 151"
297	"Punta Molas"	999	999	999	999	9999	NA	NA	NA
298	"Cinco Puertas"	999	999	999	999	9999	NA	NA	NA
299	"San Miguel"	999	999	999	999	9999	NA	NA	NA
300	"El Cedral"	999	999	999	999	9999	NA	NA	NA
301	"Buena Vista"	999	999	999	999	9999	NA	NA	NA
302	"San Gervasio"	999	999	999	999	9999	NA	NA	NA
303	"La Expedicin, Cinco Manos"	999	999	999	999	9999	NA	NA	NA
304	"Aguada Grande"	999	999	999	999	9999	NA	NA	NA
305	"Zuuk"	999	999	999	999	9999	NA	NA	NA
306	"Cozumel"	999	999	999	999	9999	NA	NA	NA
307	"Tlatilco"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 214 (del Edo. de Mx.)"
308	"Ixtapan"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 287 (del edo. de Chiapas)"
309	"Tajo de desemboque-canal de desage Tequixquiac"	999	999	999	999	9999	NA	NA	"regon ded Zumpango, en el extremo N de la Cuenca de Mxico, verificar que sea diferente a la loc. 332 y 276"
310	"Las Morenas"	999	999	999	999	9999	NA	NA	NA
311	"Campn"	999	999	999	999	9999	NA	NA	NA
312	"Tlacuachero"	999	999	999	999	9999	NA	NA	NA
313	"La Palma"	999	999	999	999	9999	NA	NA	NA
314	"Ro Arriba"	999	999	999	999	9999	NA	NA	NA
315	"Las Lomas"	999	999	999	999	9999	NA	NA	NA
316	"San Pedro Cara"	999	999	999	999	9999	NA	NA	"15 Km al este de Cojumatln, en las afueras del pueblo, direccin SO, cerca de la carretera a Saguayo"
317	"Al este de la Laguna El Barreal, Sitio 2"	999	999	999	999	9999	NA	NA	NA
318	"Al este de la Laguna El Barreal, Sitio 1"	999	999	999	999	9999	NA	NA	NA
319	"Ejrcito de Oriente"	999	999	999	999	9999	NA	NA	"en la calle de Batalln de Zapadores, frente al N. 55 A, en la unidad Ejrcito de Oriente. Delagacin Iztapalapa"
320	"Tlapacoya"	-98.9083333333333	19.3083333333333	-98.9083333333333	19.3083333333333	9999	NA	NA	"relacionado con el Lago de Chalco; Agenbroad 1984), ubica la localidad errneamente en Puebla, la bibligrafa que usa es de Lorenzo, Mirammbell y Haynes"
321	"San Pedro de Roma"	999	999	999	999	9999	NA	NA	NA
323	"Colonia Gertrudis Snchez"	999	999	999	999	9999	NA	NA	"lote 6006 de la calle Norte 86-A; verificar que no sea la misma a la loc. 104"
324	"Los Reyes-La Paz I"	999	999	999	999	9999	NA	NA	"Los Reyes La Paz (cuadra 2): Ver los planos que existen en Lorenzo y Mirambell (1986) para ubicar la cuadra 2"
325	"Calle Ro Yaqui"	999	999	999	999	9999	NA	NA	NA
326	"Los Reyes-La Paz II"	999	999	999	999	9999	NA	NA	"Los Reyes La Paz (cuadra 10): Ver los planos que existen en Lorenzo y Mirambell (1986) para ubicar la cuadra 10"
327	"Santa Luca I"	999	999	999	999	9999	NA	NA	NA
328	"Santa Luca II"	999	999	999	999	9999	NA	NA	"ref. 857: base area de Santa Luca. 365 m del sitio excavado 1976 (Santa Luca I) dentro de los terrenos de la base area"
329	"San Juan Capistrano"	999	999	999	999	9999	NA	NA	NA
330	"Tamazulapan"	999	999	999	999	9999	NA	NA	"En las cercanas del poblado de Tamazulapan; cerca de la Villa de Tamazulapan"
331	"Estado de Baja California Sur"	999	999	999	999	9999	NA	NA	NA
332	"Tajo del desage viejo (Tequixquiac)"	999	999	999	999	9999	NA	NA	NA
333	"Barranca de Tequixquiac"	999	999	999	999	9999	NA	NA	NA
334	"cercanas de la Laguna de Chamicaris"	999	999	999	999	9999	NA	NA	NA
335	"Cuenca del Balsas"	999	999	999	999	9999	NA	NA	"citada en los estados de Michoacn y Guerrero"
336	"Vistahermosa"	999	999	999	999	9999	NA	NA	NA
337	"Arroyo Alseseca"	-98.5466666666667	19.1266666666667	-98.5466666666667	19.1266666666667	9999	NA	NA	"Original NUMERO_MAPA = E14-2"
338	"Guasave I"	-108.3275	25.6775	-108.3275	25.6775	20	NA	NA	"a 19 Km en lnea recta, al NE de la ciudad de Guasave"
339	"Estado de Sinaloa"	999	999	999	999	9999	NA	NA	NA
340	"Ro de Juchipila"	999	999	999	999	9999	NA	NA	NA
341	"Cerro de las Palmas"	999	999	999	999	9999	NA	NA	"cerca de Tacubaya; ref. 846: en Tacubaya, en excavaciones hechas para la cimentacin de \"un garita de vigilancia a la salida de la carretera a Toluca\""
342	"Barranca de Regla"	999	999	999	999	9999	NA	NA	NA
343	"Huehuetoca"	-99.2016666666667	19.98	-99.2016666666667	19.98	2260	NA	NA	"Original NUMERO_MAPA = E14-A19"
344	"Chapultepec"	999	999	999	999	9999	NA	NA	NA
345	"Xalapa"	999	999	999	999	9999	NA	NA	NA
346	"Atotonilco El Grande"	999	999	999	999	9999	NA	NA	"cerca del Real del Monte; verificar que no sea la misma a la loc. 665 (del edo. de Hidalgo); tanto Falconer (ref. 251) como Barrios (ref. 540) se basan en Freudenberg."
347	"Paraiso"	999	999	999	999	420	NA	NA	"13 km NNW Chamal; 13 Km SW Gmez Faras"
348	"Rancho del Cielo"	999	999	999	999	1050	NA	NA	"6 km NW Gmez Faras"
349	"Infierno"	999	999	999	999	1320	NA	NA	"2 km S del mill poblado llamado La Gloria; 7 km W Gmez Faras"
350	"Estado de Chiapas"	999	999	999	999	9999	NA	NA	NA
351	"llanura en el territorio sur de la Pennsula"	999	999	999	999	9999	NA	NA	NA
352	"Valle de Puebla"	999	999	999	999	9999	NA	NA	"Verificar que realmente est en el estado de Puebla"
353	"Arroyo Amajac"	999	999	999	999	9999	NA	NA	"Asignada tentativamente a ese estado, debido a que no existe otro Amajac (Santa Cruz Amajac, valle de Amajaque, etc.) en la literatura ms que en Hidalgo."
354	"Rio Vrgenes"	-99.6816666666667	24.1933333333333	-99.6816666666667	24.1933333333333	900	NA	NA	"Original NUMERO_MAPA = G14-C87"
355	"Peninsula de Yucatn"	999	999	999	999	9999	NA	NA	NA
356	"metro STC ruta 1"	999	999	999	999	9999	NA	NA	NA
357	"Tajo viejo de Tequixquac? Nochistongo?"	999	999	999	999	9999	NA	NA	NA
358	"esquina de la Av. 5 de mayo y 2 Poniente"	999	999	999	999	9999	NA	NA	"Edificio Alles"
359	"Temamatla"	999	999	999	999	9999	NA	NA	NA
360	"San Marcos Necoxtla"	-97.8183333333333	18.8933333333333	-97.8183333333333	18.8933333333333	2000	NA	NA	"Original NUMERO_MAPA = E14-6"
361	"Tequixquiac (near)"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 3 (del Edo. de Mx.)"
362	"Mina Erupcin"	-102.0275	31.6775	-102.0275	31.6775	9999	NA	NA	"145 Km S-SE de Cd. Juarez, Montaa Los Lamentos; 15 S en el cerro Los Lamentos; 72 E en el cerro Los Lamentos"
363	"Tlascala"	999	999	999	999	9999	NA	NA	"verificar que sea con \"s\" y no con \"x\""
364	"Estado de Durango"	999	999	999	999	9999	NA	NA	NA
365	"Estado de Tamaulipas"	999	999	999	999	9999	NA	NA	NA
366	"Venustiano Carranza"	-104.721666666667	20.0775	-104.721666666667	20.0775	560	NA	NA	"Original NUMERO_MAPA = F13-D81"
367	"Arteaga"	-102.29	18.3566666666667	-102.29	18.3566666666667	820	NA	NA	"Original NUMERO_MAPA = E13-9"
368	"Grutas de Cocon"	999	999	999	999	9999	NA	NA	"cerca de Teapa"
369	"Santa Cruz Aguiahua"	-98.2816666666667	19.2383333333333	-98.2816666666667	19.2383333333333	2220	NA	NA	"Original NUMERO_MAPA = E14-B43"
370	"Tlaltlaya"	999	999	999	999	9999	NA	NA	"Provienen del Rancho La Cofradia, en Tlaltlaya"
371	"Mayapan"	-89.2441666666667	20.4941666666667	-89.2441666666667	20.4941666666667	20	NA	NA	NA
372	"Cerro del Tecolote"	999	999	999	999	9999	NA	NA	"30 m de la ribera pominte del Lago de Zacoalco, 1.2 m del terreno y 1.5 sobre el nivel del agua"
373	"El Tule"	999	999	999	999	9999	NA	NA	"en el camino entre Catarina y Atotonilco el Bajo"
374	"construcciones en el arroyo San Francisco"	999	999	999	999	9999	NA	NA	"a la altura 48 poniente"
375	"Estado de Yucatn"	999	999	999	999	9999	NA	NA	NA
376	"Iztapan de la Sal"	999	999	999	999	9999	NA	NA	NA
377	"Cuanalan"	999	999	999	999	9999	NA	NA	"Valle de Teotihuacn; Snchez (1985) dice, rroneamente, que tiene 2 ooo aos, mexvlando los datos de dos localidades que vienen en la referencia original"
378	"Torre Latinoamericana"	999	999	999	999	9999	NA	NA	"debajo de la Torre Latinoamericana"
379	"Mexican plateau"	999	999	999	999	9999	NA	NA	NA
380	"Tecualilla"	999	999	999	999	9999	NA	NA	"Se asign tentativamente a Nayarit, ya que Wing (1968) dice que est en el estero Teacapan, y la mayor parte de ese estero est en Nayarit, aunque el poblado de Teacapan est en Sinaloa."
381	"Juana Gomez"	999	999	999	999	9999	NA	NA	"Se refiere por deduccin a ese estado, debido a que Wing dice que el sitio esta situado \"farther inland on high ground near the town of Escuinapa\""
382	"Chalpa"	999	999	999	999	9999	NA	NA	"Se asign tentativamente a Nayarit, ya que Wing (1968) dice que est en el estero Teacapan, y la mayor parte de ese estero est en Nayarit, aunque el poblado de Teacapan est en Sinaloa."
383	"Cancn"	999	999	999	999	9999	NA	NA	"ref. 306: localidad en la pennsula de Yucatn; ref. 309: loc. en Yucatn, pero en mapa si est en Q. Roo"
384	"Chalahuites"	-96.3716666666667	19.47	-96.3716666666667	19.47	30	NA	NA	"Original NUMERO_MAPA = E14-3"
385	"Santa Luisa"	999	999	999	999	9999	NA	NA	NA
386	"San Lorenzo"	999	999	999	999	9999	NA	NA	NA
387	"Patarata"	999	999	999	999	9999	NA	NA	NA
388	"Golfo de Mxico"	999	999	999	999	9999	NA	NA	NA
389	"Limoncito"	999	999	999	999	9999	NA	NA	NA
390	"Palo Dulce"	999	999	999	999	9999	NA	NA	"S del municipio de Atotonilco el Alto aproximadamente 70 Km al E (en lnea resta) de la ciudad de Guadalajara, se localizo en el lecho del Arroyo Zula"
391	"Santa Mara Ixtapn"	999	999	999	999	9999	NA	NA	NA
392	"Tlaltenco I"	999	999	999	999	9999	NA	NA	NA
393	"lecho del arroyo San Francisco"	999	999	999	999	9999	NA	NA	"a la altura de la 4 oriente"
394	"Tlapacoya"	999	999	999	999	9999	NA	NA	NA
395	"Mixcoac"	999	999	999	999	9999	NA	NA	NA
396	"Valle de Puebla-Tlaxcala"	999	999	999	999	9999	NA	NA	NA
397	"Palacio de Tetitla, Teotihuacn"	999	999	999	999	9999	NA	NA	"Ojo, en la ref.356 (Starbuck, 1975), esta localidad se maneja como una unidad de anlisis"
398	"Chiconautla"	999	999	999	999	9999	NA	NA	NA
399	"zcalo de Puebla"	999	999	999	999	9999	NA	NA	NA
400	"Cine Latino"	999	999	999	999	9999	NA	NA	NA
403	"Rancho del Reparo"	999	999	999	999	9999	NA	NA	"Cerca de Guajuco, y Guajuco est aprox. 10 leguas (lieues) SE Monterrey"
405	"esquina de la 3 Poniente y 5 Sur"	999	999	999	999	9999	NA	NA	"Edificio Barranco"
407	"Hacienda Ojocaliente"	-102.673333333333	21.875	-102.673333333333	21.875	1690	NA	NA	"Original NUMERO_MAPA = F13-D17"
408	"frente al Rancho La Trinidad"	999	999	999	999	9999	NA	NA	NA
409	"calle 4 Poniente 306"	999	999	999	999	9999	NA	NA	"Edificio Matanzo"
410	"Barranca del Cedazo"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 93 y 22"
411	"Pabelln"	999	999	999	999	9999	NA	NA	NA
412	"Ciudad de Aguascalientes"	999	999	999	999	9999	NA	NA	NA
413	"Hacienda Aragn"	999	999	999	999	9999	NA	NA	NA
414	"Oztoyahualco"	999	999	999	999	9999	NA	NA	NA
415	"Santa Mara Coatln"	-98.8266666666667	19.685	-98.8266666666667	19.685	2290	NA	NA	"Original NUMERO_MAPA = E14-B31"
416	"Xocotitla"	999	999	999	999	9999	NA	NA	NA
417	"Mezquititla"	999	999	999	999	9999	NA	NA	NA
418	"Tlailotlacan"	999	999	999	999	9999	NA	NA	NA
419	"Santa Mara Tecola (Valsequillo)"	-98.1916666666667	18.905	-98.1916666666667	18.905	2050	NA	NA	"Original NUMERO_MAPA = E14-5"
420	"Cantera de Guadalupe"	999	999	999	999	9999	NA	NA	"cerca de Pesqueiria Chica (10 leguas NE Monterrey)"
421	"Topo"	999	999	999	999	9999	NA	NA	"cerca de los manatiales sulfurosos de Topo (2 leguas de Monterrey"
422	"Yayahuala"	999	999	999	999	9999	NA	NA	NA
423	"Tepantila"	999	999	999	999	9999	NA	NA	NA
424	"Teopancazco, Teotihuacn"	999	999	999	999	9999	NA	NA	NA
425	"Tlajinga 33, Teothihuacn"	999	999	999	999	9999	NA	NA	NA
426	"Tlachinolpan, Teotihuacn"	999	999	999	999	9999	NA	NA	NA
428	"Sur de Nuevo Len"	999	999	999	999	9999	NA	NA	"Entre Montemorelos y Linares"
429	"Villa de Tequixquiac"	999	999	999	999	9999	NA	NA	NA
430	"Chocoy"	999	999	999	999	9999	NA	NA	NA
431	"Huchichil"	999	999	999	999	9999	NA	NA	NA
432	"Cerro del Tepalcate"	999	999	999	999	9999	NA	NA	NA
434	"Acultzingo"	999	999	999	999	9999	NA	NA	NA
435	"Baja California"	999	999	999	999	9999	NA	NA	NA
436	"Linares"	-99.5941666666667	24.59	-99.5941666666667	24.59	350	NA	NA	"Original NUMERO_MAPA = G14-C58"
437	"30 km W del Rancho del Gramal"	999	999	999	999	9999	NA	NA	"30 Km W Rancho del Gramal en el km 668 Pan American highway al sur de Nejapan Villa"
438	"Buena Vista"	999	999	999	999	9999	NA	NA	"2 leguas S Saltillo"
439	"Villa de Tatlauquitepec"	999	999	999	999	9999	NA	NA	"Ojo esta localidad est mal asociada por Mena de la Pea. debiese estar asociada a Mammuthus y no a Equus"
440	"Matehuala"	-100.643611111111	23.4788888888889	-100.643611111111	23.4788888888889	1570	NA	NA	"Original NUMERO_MAPA = F14-A25"
441	"Zacualtipan Villa"	999	999	999	999	9999	NA	NA	NA
442	"Noreste de Mxico"	999	999	999	999	9999	NA	NA	"Menciona de manera general los estados de Tamaulipas, Veracruz, Nuevo Len  y Coahuila"
443	"Baja California (Lower) it self"	999	999	999	999	9999	NA	NA	NA
447	"Costa del Pacfico"	999	999	999	999	9999	NA	NA	NA
448	"Estado de Colima"	999	999	999	999	9999	NA	NA	NA
449	"Calamotln, Sto. Domingo Ocotitlan"	-99.06	19.0116666666667	-99.06	19.0116666666667	2050	NA	NA	"Original NUMERO_MAPA = E14-A49"
450	"Plaza de Toros"	999	999	999	999	9999	NA	NA	NA
451	"Valley of Bones"	999	999	999	999	9999	NA	NA	NA
452	"Rancheria Parga, Arroyo San Francisco"	999	999	999	999	9999	NA	NA	"Prob. sea igual a loc. 21"
453	"El Golfo"	999	999	999	999	9999	NA	NA	NA
454	"S. T. C. Metro"	999	999	999	999	9999	NA	NA	NA
455	"Vega de Paso"	999	999	999	999	9999	NA	NA	NA
456	"La Angostura"	999	999	999	999	9999	NA	NA	NA
457	"S. T. C. Tultepec"	999	999	999	999	9999	NA	NA	NA
458	"Chinampas"	999	999	999	999	9999	NA	NA	NA
459	"Ibarrilla"	999	999	999	999	9999	NA	NA	NA
460	"S. T. C. I F7 S1"	999	999	999	999	9999	NA	NA	NA
461	"esquina NE de las calles Homero y Sudermann"	999	999	999	999	9999	NA	NA	NA
462	"Barranca del Diablo, Chalpulualpan"	999	999	999	999	9999	NA	NA	NA
463	"? Museo Nacional de Antropologa, INAH"	999	999	999	999	9999	NA	NA	NA
465	"Coulapan"	999	999	999	999	9999	NA	NA	NA
466	"Colonia Los Cuartos"	999	999	999	999	9999	NA	NA	"margen boreal del Ro Totolica, a 10m de distancia horizontal del cauce y unos 300m aguas de la presa del mismo nombre"
467	"Resumidero de 22 m de prof. en el tiro de una mina"	999	999	999	999	9999	NA	NA	NA
468	"Fraccionamiento Ojo de Agua"	999	999	999	999	9999	NA	NA	NA
469	"zona Arqueolgica de Ranas"	999	999	999	999	9999	NA	NA	NA
470	"San Joaqun"	999	999	999	999	9999	NA	NA	NA
471	"Cerro San Antonio"	999	999	999	999	9999	NA	NA	NA
472	"La Ciudad"	999	999	999	999	9999	NA	NA	NA
473	"Mina Escobilla"	999	999	999	999	9999	NA	NA	NA
474	"Mina Prieta"	999	999	999	999	9999	NA	NA	NA
476	"Zacatenco"	999	999	999	999	9999	NA	NA	NA
477	"La Villita"	999	999	999	999	9999	NA	NA	"la localidad esta entre los estados de  Guerrero y Michoacn"
478	"La Nopalera, Valsequillo"	999	999	999	999	9999	NA	NA	NA
479	"Villa de Reyes"	999	999	999	999	9999	NA	NA	"Original NUMERO_MAPA = F14-C14"
480	"S. T. C. Metro Km 2 (Chapultepec)"	999	999	999	999	9999	NA	NA	NA
482	"Tlatelolco"	999	999	999	999	9999	NA	NA	NA
483	"Iztatlan?"	999	999	999	999	9999	NA	NA	NA
484	"San Antonio El Pobre"	999	999	999	999	9999	NA	NA	NA
487	"Centro de Tequixquiac"	999	999	999	999	9999	NA	NA	NA
488	"Estado de Sonora"	999	999	999	999	9999	NA	NA	NA
489	"SE del Riego"	999	999	999	999	9999	NA	NA	"cerca de Tehuacn"
490	"Alcozaula"	999	999	999	999	9999	NA	NA	NA
491	"Cerro de las Mesas"	999	999	999	999	9999	NA	NA	NA
492	"Carretera Teoloyucan-Huehuetoca"	999	999	999	999	9999	NA	NA	NA
493	"Santa Clara"	999	999	999	999	9999	NA	NA	NA
494	"Av. Universidad, Banco de Comercio"	999	999	999	999	9999	NA	NA	NA
495	"Kohunlich"	999	999	999	999	9999	NA	NA	NA
496	"Km 28 camino Cuernavaca-Amacuzac"	999	999	999	999	9999	NA	NA	NA
497	"Rancho del Tlacuache"	999	999	999	999	9999	NA	NA	NA
498	"Valle de la Piedad"	999	999	999	999	9999	NA	NA	NA
499	"Trinitaria"	999	999	999	999	9999	NA	NA	"trabajos arqueolgicos en la seccin de mquinas electronicas, MNA"
500	"Las Cuarenta Casas"	999	999	999	999	9999	NA	NA	NA
501	"San Joaqun"	999	999	999	999	9999	NA	NA	NA
502	"Tomatln"	999	999	999	999	9999	NA	NA	NA
503	"Ex-convento de San Jernimo"	999	999	999	999	9999	NA	NA	NA
505	"La Negreta"	999	999	999	999	9999	NA	NA	NA
506	"Cueva de Pilancn"	-97.9066666666667	19.5016666666667	-97.9066666666667	19.5016666666667	3020	NA	NA	"Original NUMERO_MAPA = E14-B24"
507	"Petatln"	-101.294166666667	17.5608333333333	-101.294166666667	17.5608333333333	40	NA	NA	NA
508	"San Pedro Totoltepec"	999	999	999	999	9999	NA	NA	"ref. 752: en el canal del patio de la fbrica en construccin \"Cierres Ideal de Mxico\", en carreteraMexico-Toluca tomar lateral hasta entronque de Sn. Pedro Toltepec, seguir 1.5 Km."
509	"Tepeapulco"	999	999	999	999	9999	NA	NA	NA
510	"Calpulalpan"	999	999	999	999	9999	NA	NA	NA
511	"San Pablo Tecalco"	999	999	999	999	9999	NA	NA	NA
512	"Cuauhtochco"	999	999	999	999	9999	NA	NA	NA
513	"Tlaxcoapan"	999	999	999	999	9999	NA	NA	NA
514	"Tizatlan y Totolac"	999	999	999	999	9999	NA	NA	NA
515	"Sayultepec"	999	999	999	999	9999	NA	NA	NA
516	"Hueyotlipan"	999	999	999	999	9999	NA	NA	NA
517	"Pichilingue"	999	999	999	999	9999	NA	NA	NA
518	"Santiago Temixco"	999	999	999	999	9999	NA	NA	NA
519	"Balneario Rosa Azul, Jocotitln"	999	999	999	999	9999	NA	NA	NA
520	"Santa Mara del Oro"	-105.394166666667	25.9775	-105.394166666667	25.9775	1700	NA	NA	"Manzana 32, Arroyo del Agua Buena, Barrio del Llano"
521	"Tetitlan"	999	999	999	999	9999	NA	NA	"Sitio CC-1 (con acento?)"
522	"Col. Francisco R. Serrano (El Burrero)"	999	999	999	999	9999	NA	NA	NA
523	"Ixil"	-89.5108333333333	21.1775	-89.5108333333333	21.1775	10	NA	NA	NA
524	"Fogtico (pozo 3)"	999	999	999	999	9999	NA	NA	NA
525	"Cob"	999	999	999	999	9999	NA	NA	NA
526	"Laguna de Viesca, ojo grande de Bilbao (O2)"	999	999	999	999	9999	NA	NA	NA
527	"Laguna de Viesca, Ojo de Lourdes (O1)"	999	999	999	999	9999	NA	NA	NA
528	"Patuichan"	999	999	999	999	9999	NA	NA	NA
530	"Barranca cerca de S. Antonio Miltepec"	999	999	999	999	9999	NA	NA	NA
531	"Tomatln 28 (Nahuapa II)"	999	999	999	999	9999	NA	NA	NA
532	"Calzada Sta. Ana 1000"	999	999	999	999	9999	NA	NA	NA
533	"Coixtlahuaca"	999	999	999	999	9999	NA	NA	NA
534	"San Jose Tepenen"	999	999	999	999	9999	NA	NA	NA
535	"Cuicuilco"	999	999	999	999	9999	NA	NA	NA
536	"Sta. Catarina, Cholula"	999	999	999	999	9999	NA	NA	NA
