"IDLOCALIDAD"	"IDESTADO"	"IDMUNICIPI"	"NOMBRE_LOCALIDAD"	"NUMERO_MAPA"	"ESCALA_MAPA"	"LATITUD_GRADOS"	"LATITUD_MINUTOS"	"LATITUD_SEGUNDOS"	"LONGITUD_GRADOS"	"LONGITUD_MINUTOS"	"LONGITUD_SEGUNDOS"	"MERCATOR_NORTE"	"MERCATOR_ESTE"	"LOCALIDAD"	"COORDENADA_N.S"	"COORDENADA_E.W"	"ELEVACION"	"IDPRECISION"	"COMENTARIOS"	"suma"	"with.coords"	"num.abs.dates"	"num.rel.ages"	"primary.pubs"	"num.taxa"	"spatial.rank"	"temporal.rank"	"material.rank"	"taxa.rank"
101	15	70	"Los Reyes La Paz"	"E14-B31"	"1:50,000"	19	21	42	98	58	30	"ND"	"ND"	"ND"	"ND"	"ND"	2210	"ND"	"Ref. 768: los materiales provienen de varias cuadras, incluyendo la dos y la 10, cuadras que para esa referencia se manejaron como unidad de anlisis."	1	"Y"	4	4	TRUE	19	1	1	1	1
102	15	0	"Los Reyes Acozac"	"E14-B41"	"1:50,000"	19	46	24	98	58	54	"ND"	"ND"	"ND"	"ND"	"ND"	2250	"ND"	"ref. 846: aledaos del poblado Los Reyes de Acozac; ref. 692: cerca de la Villa de los Reyes de Acozac; ref. 49: cerca de Zumpango de Ocampo"	1	"Y"	4	2	TRUE	5	1	1	1	2
103	15	0	"San Bartolo Atepehuacn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma a la loc. 255"	1	"N"	11	3	TRUE	4	2	1	1	3
104	33	0	"Xaltocan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	13	2	2	1	1
105	15	0	"Chimalhuacn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar estado; ref. 747: patio de la casa, sita en Manzana 3, Lote 4, fraccionamiento Cristo Rey, Col. Embarcadero en el Barrio de Xochitenco en Chimalhuacn"	1	"N"	4	1	TRUE	10	2	1	1	1
106	15	0	"Tulpetlac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
107	15	11	"Santa Isabel Iztapan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Santa Isabel Iztapan"	"ND"	"ND"	9999	"ND"	"Ref.548: probablemente se refiera a la localidad de Santa Isabel Iztapan (SII-I), ya que dice \"W-NW Santa Isabel Iztapan, 2 Km SW Tepexpan sobre la carretera San Juan Teotihuacn zanja en la labor del Sr. Mariano Vallejo\" , y esa es la localidad de SII-I; ref. 687: 350 m S del 1er mammut y 2600 S de sitio del hombre de Tepexpan"	1	"N"	10	4	TRUE	3	2	1	1	3
108	15	30	"Calxicatl, Chinconcuac"	"E14-B21"	"1:50,000"	19	33	99	98	54	99	"ND"	"ND"	"ND"	"ND"	"ND"	2240	"ND"	"a unos metros del Puente Renacimiento y sobre la calle Salitre, Chinconcuac; en el barrio de Calxiacatl, a unos metros del puente Renacimiento que se encuentra en la calle salitre"	1	"Y"	0	2	TRUE	3	1	2	1	3
109	15	0	"Venta de Carpio"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 169: 3.5 Km de Venta de Carpio, en el camino tanto al lado derecho como izquierdo, comunicando al D. F. con Sn. Juan Teotihuacan, en el tramo comprendido entre la estacin de bandera de Venta de Carpio y la de Tepexpan, del Ferrocarril Hidalgo"	1	"N"	0	1	TRUE	2	2	2	1	3
110	15	0	"Santa Luca"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	2	2	TRUE	5	2	1	1	2
111	21	0	"Canal de Valsequillo (Tecamachalco)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
112	15	0	"Almoloya del Ro"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Almoloya del Ro"	"ND"	"ND"	9999	"ND"	"Ref. 50: Km 11 de Almoloya del Rio; ref. 74: Acueducto de Lerma en Almoloya del Ro; como ambas referencias tratan de los proboscideos del museo de Geologa de la UNAM, se asumi que eran el mismo material y la misma localidad"	1	"N"	0	1	TRUE	2	2	2	1	3
113	19	0	"General Zuazua"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
114	33	0	"San Juan Camargo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
115	26	0	"Caborca"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
116	33	0	"Presa Marte"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
117	20	0	"Cueva de San Agustn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Huentla, cerca de Oaxaca, Oax."	1	"N"	0	1	TRUE	2	2	2	1	3
118	19	0	"Cueva de Bustamante"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	4	2	2	1	3
119	33	0	"Cueva de la Mina"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
120	33	0	"Cueva Las Cruces"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
121	15	0	"Cantera El Tajo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
122	33	0	"Potrecito cerca Cienega"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
123	33	0	"Sierra de Tamaulipas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	3	2	2	2	3
124	27	11	"Jonuta"	"E15-5"	"1:250,000"	18	5	18	92	7	54	"ND"	"ND"	"ND"	"ND"	"ND"	5	"ND"	"en los mrgenes de los ros Usumacinta y Palizada, en el lmite de Tabasco y Campeche"	1	"Y"	0	1	FALSE	4	1	2	2	3
125	33	0	"Sureste"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
126	28	0	"cercanas del Valle del Maz"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
127	19	0	"Cueva de la Zona de Derrumbes"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ver.localidad, en una ref. es desconocida y en 94 es N.L."	1	"N"	0	1	TRUE	25	2	2	1	1
128	33	0	"cerca de Tehuantepec"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma que la loc. 683 del edo de Oaxaca"	1	"N"	0	1	TRUE	1	2	2	1	3
129	15	0	"Amanalco de Becerra? Valle de Bravo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
130	33	0	"Caada de Aculzingo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar sean una misma que la loc. 485 (del edo. de Veracruz), o loc. 48 (del edo. de Puebla)"	1	"N"	0	1	FALSE	2	2	2	2	3
131	13	0	"cerca de Lagunilla, Valle del Mezquital"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	1800	"ND"	"ref. 131: cerca de Lagunilla. de Ixmiquilpan rumbo al noroeste, oriente y sureste,un amplio valle."	1	"N"	0	2	TRUE	1	2	2	1	3
133	15	0	"regin de Tepexpan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"aprox. 35 Km al NE de la ciudad de Mxico; formacin Becerra superior"	1	"N"	0	1	TRUE	1	2	2	1	3
134	33	0	"El Risco I"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma que la loc. 815"	1	"N"	0	1	TRUE	3	2	2	1	3
135	15	0	"El Pen de los Baos? Texcoco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
136	14	0	"Iztln?"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
137	14	0	"Regin de Juchipila"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
138	33	0	"Ro Bravo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	3	2	2	2	3
139	17	0	"Tehuichila"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
140	30	0	"Tehuichila"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Edad relativa: Loup Fork age"	1	"N"	0	1	TRUE	3	2	2	1	3
141	33	0	"una llanura en el territorio sur de la peninsula"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 845: dice unicamente del edo. de Baja California"	1	"N"	0	1	TRUE	3	2	2	1	3
142	13	0	"Valle de Amajaque"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Alvarez 1965 y Mena de la Pea 1975: es plioceno."	1	"N"	0	1	TRUE	2	2	2	1	3
143	15	0	"Valle de Toluca"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Todos se basan en las mismas referencias Villada (1897, 1903, 1905), que no mencionan claramente el estado, pero todos los demas autores lo refieren al estado de Mxico, por lo que se dej com Edo. Mx."	1	"N"	0	2	TRUE	3	2	2	1	3
144	15	0	"Xico"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"cerca de Xico. ref. 847 y 692: margen sur del lago de Texcoco, en una mina de arenas fosilferas (basadas en Herrera, 1893: ref. 837); en una cantera a orillas del lago de Chalco; cerca de Astahuacn. Ref. 841 y 842 no dicen de que estado es, pero como son trabajos posteriores a la ref. 837, se dej con el mismo estado que en ese trabajo"	1	"N"	0	2	TRUE	4	2	2	1	3
145	33	0	"antigua ribera de Lago de Chapala"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"aprox. 700 m al NO de \"Petatn\", casero de pescadores situados en la antigua ribera del lago, aunos 6 Km al NO de Cojumatlan"	1	"N"	0	1	TRUE	1	2	2	1	3
146	21	0	"Tehuacn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
147	33	0	"Tehuantepec"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
149	20	0	"Estado de Oaxaca"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	4	2	2	2	3
150	5	0	"Estado de Coahuila"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
151	3	0	"Arroyo Comond"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"llanura en las cercanas del arroyo Comond, aprox. a 40 km W Loreto. PROB. SEA IGUAL QUE LOC. 296"	1	"N"	0	1	TRUE	3	2	2	1	3
152	14	0	"Estado de Jalisco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	3	TRUE	26	2	2	1	1
153	11	0	"Estado de Guanajuato"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	8	2	2	1	2
154	15	0	"SW de la regin de Tepechpan (sic)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
155	15	0	"Tlapanayola"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	1	TRUE	1	2	1	1	3
156	1	0	"Cerrito de la Cruz"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"cerca de Arroyo del Cedazo"	1	"N"	0	1	TRUE	4	2	2	1	3
157	10	0	"Arroyo Malacate"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
158	1	0	"Arroyo Pargas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
159	1	0	"Paso Hondo y Cobos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
160	1	0	"Caada de Cotorina"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
161	9	0	"Ixtapalapa"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	1	TRUE	1	2	1	1	3
162	5	31	"San Buenaventura"	"G14-A42"	"1:50,000"	27	3	45	101	32	48	"ND"	"ND"	"ND"	"ND"	"ND"	490	"ND"	"ND"	1	"Y"	0	1	FALSE	1	1	2	2	3
163	7	0	"Villa Flores"	"ND"	"1:50,000"	16	14	99	93	17	99	"ND"	"ND"	"ND"	"ND"	"ND"	540	"ND"	"ND"	1	"Y"	0	1	TRUE	3	1	2	1	3
164	8	0	"Ciudad Delicias"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
165	12	0	"Iguala"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"inmediaciones de Iguala"	1	"N"	0	1	FALSE	1	2	2	2	3
166	13	0	"Cueva La Nopalera"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Tepeapulco"	"10 Km"	"ND"	9999	"ND"	"Tepeapulco"	1	"N"	0	8	TRUE	26	2	2	1	1
167	13	0	"Mineral del Monte"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
168	14	0	"Juchitln"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
169	14	119	"Santa Catarina"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	3	2	2	2	3
170	15	0	"Barranca de Acatln, Tequixquiac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	15	2	2	1	1
171	9	0	"Teatro Latino (Paseo de la Reforma)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que la localidad no tenga los datos de Paseo de la Reforma y Havre (pozo P-366-2), que segn Barrios (1985;ref.548), es otra localidad"	1	"N"	0	1	TRUE	1	2	2	1	3
172	9	0	"Barranca del Muerto"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
173	9	0	"Edificio Latino Americano"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Av. Insurgentes esq. Q. Roo"	1	"N"	0	1	FALSE	2	2	2	2	3
174	15	0	"Jilotepec"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
175	15	0	"Tecolapa"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"cerca de Jilotepec"	1	"N"	0	1	FALSE	1	2	2	2	3
176	15	0	"Tonatico"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
177	9	0	"Panten Dolores"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	3	2	2	1	3
178	9	0	"San Jernimo Ldice"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
180	15	0	"Apaxco (en mina de Calhidra)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"en mina de calhidra"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma a la loc. 13"	1	"N"	0	1	FALSE	1	2	2	2	3
181	16	0	"Zacapu"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
182	16	10	"Rancho Las Ollas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
183	17	10	"Cuautla"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
184	21	0	"Acatln"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
185	21	0	"San Martn Texmelucan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
186	29	0	"Hda. de Zotoluca (cerca de Apizaco)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
187	30	0	"Estado de Veracruz"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	3	2	2	1	3
188	28	0	"Xicotncatl"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"dentro del Valle del Mamut, a la izquierda del camino que va el Ejido de Santa Rosa, a 500m de la entrada"	1	"N"	0	1	TRUE	3	2	2	1	3
189	24	0	"Rancho Peotillos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	2	2	2	1	3
190	24	0	"Estado de San Luis Potos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	9	2	2	1	2
191	24	0	"Paso del Aguila (cerca de San Nicols Tolentino)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
192	24	23	"Rayn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	1	FALSE	1	2	1	2	3
193	30	0	"Caada de Aculcingo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 846: a 25 Km al W de Orizaba"	1	"N"	0	2	TRUE	2	2	2	1	3
194	30	155	"Tantoyuca"	"F14-8"	"1:250,000"	21	21	6	98	13	42	"ND"	"ND"	"ND"	"ND"	"ND"	100	"ND"	"ND"	1	"Y"	0	1	FALSE	1	1	2	2	3
195	32	0	"Ciudad de Zacatecas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
196	33	0	"San Miguel Tecamachalco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma a la loc. 648 (del Edo. de Mx.)"	1	"N"	0	1	TRUE	2	2	2	1	3
197	20	0	"Santa Catalina Chinango"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"1 Km SE Santa Catalina Chinango, en la barranca formada en una planicie llamada Llano de la Luna"	1	"N"	0	1	TRUE	2	2	2	1	3
198	19	0	"Aramberri"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"probablemente sea Cueva de San Josecito"	1	"N"	0	1	TRUE	1	2	2	1	3
199	9	0	"Tlhuac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	5	2	2	1	2
200	5	0	"Hacienda de Hornos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
201	24	24	"Ro Verde"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
202	28	0	"Ro San Juan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
203	26	0	"Quitovac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
204	9	0	"Peon Viejo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
205	15	11	"Santa Isabel Iztapan I"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Santa Isabel Iztapan"	"ND"	"ND"	9999	"ND"	"Mamut no. 1: NW Santa Isabel Iztapan. Ref. 846: en un punto situado a 2.25 km SSW estacin ferroviaria de Tepexpan; S de Tepexpan; 2 km SW Tepexpan y WNW Santa Isabel Iztapan; ref.1: dice errneamente \"WNE Santa Isabel Iztapan\""	1	"N"	8	3	TRUE	2	2	1	1	3
206	15	0	"estacin Tepexpan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"al lado derecho del camino, justamente a espaldas de la estacin del ferrocarril Tepexpan"	1	"N"	0	1	TRUE	1	2	2	1	3
207	15	0	"Hacienda de Tepexpan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
208	4	0	"El Ocotln"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Cerca de Jonuta, Tabasco"	1	"N"	0	1	FALSE	4	2	2	2	3
209	15	0	"Zohapilco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"en la base E-N del cerro de Las Cruces , uno de los puntos culminantes del cerro de Tlapacoya, y en la extremidad sur del actual pueblo del mismo nombre"	1	"N"	22	8	TRUE	25	2	1	1	1
210	19	0	"Mina"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	2	TRUE	24	2	1	1	1
211	31	0	"Actun Lara"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Serrana entre Yokat y Ticul; cerca de Ticul; ref 713: Cueva Actn y Lara"	1	"N"	0	3	TRUE	22	2	2	1	1
212	10	0	"Cueva de las Iglesias"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"en el caon del Soldado, Mpio. de Lerdo"	1	"N"	0	1	TRUE	1	2	2	1	3
213	10	0	"Can del Soldado"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
214	15	0	"Tlatilco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"San Bartolo Naucalpan"	"2.5 Km S"	"ND"	9999	"ND"	"2.5 Km S San Bartolo Naucalpan"	1	"N"	0	1	TRUE	21	2	2	1	1
215	31	0	"Chichen Itza"	"ND"	"ND"	20	40	12	88	30	36	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"Y"	0	1	TRUE	29	1	2	1	1
